,Time,ID,value,private_data
176,2022-12-13 01:32:06.625,2,"(81) AMD's Greedy Upsell: RX 7900 XT Review & Benchmarks vs. XTX, 4080, & More - YouTube — Mozilla Firefox",0
177,2022-12-13 01:32:06.625,5,\DISPLAY1,0
178,2022-12-13 01:32:06.625,3,firefox.exe,0
179,2022-12-13 01:32:06.625,4,MozillaWindowClass,0
180,2022-12-13 01:32:09.625,4,RiotWindowClass,0
181,2022-12-13 01:32:09.625,3,League of Legends.exe,0
182,2022-12-13 01:32:09.625,2,League of Legends (TM) Client,0
183,2022-12-13 01:32:09.625,5,\DISPLAY1,0
184,2022-12-13 01:32:12.625,4,MozillaWindowClass,0
185,2022-12-13 01:32:12.625,3,firefox.exe,0
186,2022-12-13 01:32:12.625,5,\DISPLAY1,0
187,2022-12-13 01:32:12.625,2,"(81) AMD's Greedy Upsell: RX 7900 XT Review & Benchmarks vs. XTX, 4080, & More - YouTube — Mozilla Firefox",0
188,2022-12-13 01:32:15.626,2,League of Legends (TM) Client,0
189,2022-12-13 01:32:15.626,3,League of Legends.exe,0
190,2022-12-13 01:32:15.626,4,RiotWindowClass,0
191,2022-12-13 01:32:15.626,5,\DISPLAY1,0
192,2022-12-13 01:37:27.646,4,MozillaWindowClass,0
193,2022-12-13 01:37:27.646,5,\DISPLAY1,0
194,2022-12-13 01:37:27.646,2,"(81) AMD's Greedy Upsell: RX 7900 XT Review & Benchmarks vs. XTX, 4080, & More - YouTube — Mozilla Firefox",0
195,2022-12-13 01:37:27.646,3,firefox.exe,0
196,2022-12-13 01:37:36.647,2,League of Legends (TM) Client,0
197,2022-12-13 01:37:36.647,3,League of Legends.exe,0
198,2022-12-13 01:37:36.647,4,RiotWindowClass,0
199,2022-12-13 01:37:36.647,5,\DISPLAY1,0
200,2022-12-13 01:39:21.656,5,\DISPLAY1,0
201,2022-12-13 01:39:21.656,2,Task Switching,0
202,2022-12-13 01:39:21.656,3,explorer.exe,0
203,2022-12-13 01:39:21.656,4,MultitaskingViewFrame,0
204,2022-12-13 01:39:24.657,4,RiotWindowClass,0
205,2022-12-13 01:39:24.657,5,\DISPLAY1,0
206,2022-12-13 01:39:24.657,2,League of Legends (TM) Client,0
