,Start,Value,Duration
1370,2022-12-14 15:07:24.835,chrome.exe,0 days 00:01:39.010000
1371,2022-12-14 15:09:03.845,Discord.exe,0 days 00:00:45.006000
1372,2022-12-14 15:09:48.851,chrome.exe,0 days 00:00:03
1373,2022-12-14 15:09:51.851,Discord.exe,0 days 00:00:09.002000
1374,2022-12-14 15:10:00.853,chrome.exe,0 days 00:00:09
1375,2022-12-14 15:10:09.853,Discord.exe,0 days 00:01:12.008000
1376,2022-12-14 15:11:21.861,chrome.exe,0 days 00:09:12.069000
1377,2022-12-14 15:20:33.930,Discord.exe,0 days 00:00:15.002000
1378,2022-12-14 15:20:48.932,chrome.exe,0 days 00:00:09
1379,2022-12-14 15:20:57.932,explorer.exe,0 days 00:00:06
1380,2022-12-14 15:21:03.932,chrome.exe,0 days 00:01:39.016000
1381,2022-12-14 15:22:42.948,firefox.exe,0 days 00:00:03
1382,2022-12-14 15:22:45.948,chrome.exe,0 days 00:07:33.060000
1383,2022-12-14 15:30:19.008,Discord.exe,0 days 00:00:06.001000
1384,2022-12-14 15:30:25.009,chrome.exe,0 days 00:00:06
1385,2022-12-14 15:30:31.009,Discord.exe,0 days 00:00:21.003000
1386,2022-12-14 15:30:52.012,chrome.exe,0 days 00:01:18.010000
1387,2022-12-14 15:32:10.022,Discord.exe,0 days 00:00:33.003000
1388,2022-12-14 15:32:43.025,chrome.exe,0 days 00:00:06.001000
1389,2022-12-14 15:32:49.026,Discord.exe,0 days 02:42:36.089000
1390,2022-12-14 18:15:25.115,firefox.exe,0 days 00:00:03.001000
1391,2022-12-14 18:15:28.116,VsDebugConsole.exe,0 days 05:26:41.519000
1392,2022-12-14 23:42:09.635,explorer.exe,0 days 00:22:18.160000
1393,2022-12-15 16:03:44.902,firefox.exe,0 days 00:00:06.001000
1394,2022-12-15 16:03:50.903,cmd.exe,0 days 00:00:12.001000
1395,2022-12-15 16:04:02.904,firefox.exe,0 days 00:00:12.001000
1396,2022-12-15 16:04:14.905,cmd.exe,0 days 00:00:30.004000
1397,2022-12-15 16:04:44.909,firefox.exe,0 days 00:00:48.007000
1398,2022-12-15 16:05:32.916,Talkdesk.exe,0 days 00:00:06.001000
1399,2022-12-15 16:05:38.917,chrome.exe,0 days 00:00:21.003000
1400,2022-12-15 16:05:59.920,firefox.exe,0 days 00:00:18.004000
1401,2022-12-15 16:06:17.924,notepad++.exe,0 days 00:00:39.004000
1402,2022-12-15 16:06:56.928,cmd.exe,0 days 00:00:06
1403,2022-12-15 16:07:02.928,firefox.exe,0 days 00:00:45.003000
1404,2022-12-15 16:07:47.931,notepad++.exe,0 days 00:00:33.006000
1405,2022-12-15 16:08:20.937,chrome.exe,0 days 00:00:15.003000
1406,2022-12-15 16:08:35.940,Discord.exe,0 days 00:00:51.007000
1407,2022-12-15 16:09:26.947,chrome.exe,0 days 00:02:15.017000
1408,2022-12-15 16:11:41.964,notepad++.exe,0 days 00:01:00.006000
1409,2022-12-15 16:12:41.970,cmd.exe,0 days 00:00:03.001000
1410,2022-12-15 16:12:44.971,notepad++.exe,0 days 00:00:09
1411,2022-12-15 16:12:53.971,explorer.exe,0 days 00:00:03
1412,2022-12-15 16:12:56.971,notepad++.exe,0 days 00:00:03.001000
1413,2022-12-15 16:12:59.972,explorer.exe,0 days 00:00:06.001000
1414,2022-12-15 16:13:05.973,notepad++.exe,0 days 00:00:42.006000
1415,2022-12-15 16:13:47.979,explorer.exe,0 days 00:00:03
1416,2022-12-15 16:13:50.979,cmd.exe,0 days 00:00:06.001000
1417,2022-12-15 16:13:56.980,notepad++.exe,0 days 00:00:03
1418,2022-12-15 16:13:59.980,cmd.exe,0 days 00:00:18.004000
1419,2022-12-15 16:14:17.984,SearchApp.exe,0 days 00:00:42.003000
1420,2022-12-15 16:14:59.987,notepad++.exe,0 days 00:01:00.008000
1421,2022-12-15 16:15:59.995,explorer.exe,0 days 00:00:03
1422,2022-12-15 16:16:02.995,notepad.exe,0 days 00:00:06.001000
1423,2022-12-15 16:16:08.996,explorer.exe,0 days 00:00:42.005000
1424,2022-12-15 16:16:51.001,notepad++.exe,0 days 00:00:12.001000
1425,2022-12-15 16:17:03.002,Talkdesk.exe,0 days 00:00:06.001000
1426,2022-12-15 16:17:09.003,chrome.exe,0 days 00:00:30.003000
1427,2022-12-15 16:17:39.006,Talkdesk.exe,0 days 00:01:15.008000
1428,2022-12-15 16:18:54.014,chrome.exe,0 days 00:00:12.002000
1429,2022-12-15 16:19:06.016,Talkdesk.exe,0 days 00:00:12.001000
1430,2022-12-15 16:19:18.017,chrome.exe,0 days 00:00:30.004000
1431,2022-12-15 16:19:48.021,Talkdesk.exe,0 days 00:00:51.007000
1432,2022-12-15 16:20:39.028,chrome.exe,0 days 00:00:48.007000
1433,2022-12-15 16:21:27.035,Talkdesk.exe,0 days 00:01:12.006000
1434,2022-12-15 16:22:39.041,chrome.exe,0 days 00:02:36.020000
1435,2022-12-15 16:25:15.061,Talkdesk.exe,0 days 00:00:03.001000
1436,2022-12-15 16:25:18.062,chrome.exe,0 days 00:00:39.004000
1437,2022-12-15 16:25:57.066,Discord.exe,0 days 00:00:39.005000
1438,2022-12-15 16:26:36.071,chrome.exe,0 days 00:00:09.002000
1439,2022-12-15 16:33:00.175,chrome.exe,0 days 00:00:57.009000
1440,2022-12-15 16:33:57.184,devenv.exe,0 days 00:00:03.001000
1441,2022-12-17 12:57:08.958,Shell_TrayWnd,0 days 00:00:20.266000
1442,2022-12-17 12:57:29.224,Chrome_WidgetWin_1,0 days 00:03:24.813000
1443,2022-12-17 13:00:54.037,MSTaskListWClass,0 days 00:00:04.907000
1444,2022-12-17 13:00:58.944,MozillaWindowClass,0 days 00:00:23.476000
1445,2022-12-17 13:01:22.420,ToolbarWindow32,0 days 00:00:00.761000
1446,2022-12-17 13:01:23.181,Windows.UI.Core.CoreWindow,0 days 00:00:02.169000
1447,2022-12-17 13:01:25.350,MozillaWindowClass,0 days 00:00:02.416000
1448,2022-12-17 13:01:27.766,ToolbarWindow32,0 days 00:00:00.549000
1449,2022-12-17 13:01:28.315,Windows.UI.Core.CoreWindow,0 days 00:00:02.544000
1450,2022-12-17 13:01:30.859,MozillaWindowClass,0 days 00:00:15.734000
1451,2022-12-17 13:01:46.593,Button,0 days 00:00:08.854000
1452,2022-12-17 13:01:55.447,#32768,0 days 00:00:07.939000
1453,2022-12-17 13:02:03.386,MozillaWindowClass,0 days 00:00:11.828000
