MEASUREMENT_TIME,VALUE
2022-12-13 19:24:09.741,Discord.exe
2022-12-13 19:24:15.741,chrome.exe
2022-12-13 19:24:18.741,Discord.exe
2022-12-13 19:24:51.747,chrome.exe
2022-12-13 19:25:18.752,Discord.exe
2022-12-13 19:25:24.753,chrome.exe
2022-12-13 19:25:30.753,Discord.exe
2022-12-13 19:25:45.755,Talkdesk.exe
2022-12-13 19:25:48.756,chrome.exe
2022-12-13 19:25:51.757,Talkdesk.exe
2022-12-13 19:26:06.759,chrome.exe
2022-12-13 19:26:51.764,Discord.exe
2022-12-13 19:27:06.766,chrome.exe
2022-12-13 19:27:18.768,Discord.exe
2022-12-13 19:27:30.769,chrome.exe
2022-12-13 19:28:45.779,Discord.exe
2022-12-13 19:29:24.783,chrome.exe
2022-12-13 19:31:51.802,Talkdesk.exe
2022-12-13 19:31:54.802,chrome.exe
2022-12-13 19:32:03.803,Discord.exe
2022-12-13 19:32:09.805,chrome.exe
2022-12-13 19:36:00.839,Discord.exe
2022-12-13 19:36:15.841,chrome.exe
2022-12-13 19:36:24.841,Discord.exe
2022-12-13 19:36:27.841,firefox.exe
2022-12-13 19:36:39.843,Discord.exe
2022-12-13 19:36:51.845,chrome.exe
2022-12-13 19:36:57.846,explorer.exe
2022-12-13 19:37:00.846,firefox.exe
2022-12-13 19:37:21.848,Discord.exe
2022-12-13 19:37:27.849,firefox.exe
2022-12-13 19:37:30.850,chrome.exe
2022-12-13 19:37:33.850,explorer.exe
2022-12-13 19:37:36.850,firefox.exe
2022-12-13 19:37:51.852,Discord.exe
2022-12-13 19:37:57.853,firefox.exe
2022-12-13 19:38:09.854,Discord.exe
2022-12-13 19:38:21.856,firefox.exe
2022-12-13 19:38:24.856,Discord.exe
2022-12-13 19:38:36.859,chrome.exe
2022-12-13 19:38:45.860,Discord.exe
2022-12-13 19:38:51.860,chrome.exe
2022-12-13 19:38:57.860,ScreenClippingHost.exe
2022-12-13 19:39:00.860,chrome.exe
2022-12-13 19:39:03.861,Discord.exe
2022-12-13 19:39:15.862,chrome.exe
2022-12-13 19:39:18.863,Discord.exe
2022-12-13 19:39:27.864,chrome.exe
2022-12-13 19:40:36.874,Discord.exe
2022-12-13 19:40:42.874,chrome.exe
2022-12-13 19:40:51.875,Discord.exe
2022-12-13 19:41:09.878,chrome.exe
2022-12-13 19:41:21.880,Discord.exe
2022-12-13 19:41:39.883,chrome.exe
2022-12-13 19:41:42.884,Talkdesk.exe
2022-12-13 19:41:45.884,Discord.exe
2022-12-13 19:41:48.885,chrome.exe
2022-12-13 19:42:12.888,Discord.exe
2022-12-13 19:42:27.890,chrome.exe
2022-12-13 19:42:33.890,Discord.exe
2022-12-13 19:42:42.892,chrome.exe
2022-12-13 19:42:45.893,Discord.exe
2022-12-13 19:42:48.893,chrome.exe
2022-12-13 19:42:57.893,Discord.exe
2022-12-13 19:43:03.894,chrome.exe
2022-12-13 19:43:15.896,Talkdesk.exe
2022-12-13 19:43:21.896,chrome.exe
2022-12-13 19:43:48.899,Discord.exe
2022-12-13 19:43:51.899,chrome.exe
2022-12-13 19:44:39.906,Discord.exe
2022-12-13 19:47:06.925,chrome.exe
2022-12-13 19:51:03.957,Discord.exe
2022-12-13 19:51:09.958,chrome.exe
2022-12-13 19:52:24.968,Discord.exe
2022-12-13 19:52:27.969,chrome.exe
2022-12-13 19:52:30.969,Discord.exe
2022-12-13 19:52:45.970,chrome.exe
2022-12-13 19:53:18.973,Discord.exe
2022-12-13 19:53:21.973,firefox.exe
2022-12-13 19:54:27.982,Discord.exe
2022-12-13 19:54:33.983,firefox.exe
2022-12-13 19:54:39.984,Discord.exe
2022-12-13 19:54:54.985,chrome.exe
2022-12-13 19:56:03.994,Discord.exe
2022-12-13 19:56:12.994,chrome.exe
2022-12-13 19:56:15.995,Discord.exe
2022-12-13 19:56:30.998,chrome.exe
2022-12-13 20:00:01.023,Discord.exe
2022-12-13 20:00:52.031,Talkdesk.exe
2022-12-13 20:06:46.076,Discord.exe
2022-12-13 20:06:52.078,Talkdesk.exe
2022-12-13 20:06:58.079,chrome.exe
2022-12-13 20:12:31.120,firefox.exe
2022-12-13 20:15:43.145,chrome.exe
2022-12-13 20:20:13.189,explorer.exe
2022-12-13 20:20:16.189,chrome.exe
2022-12-13 20:29:16.253,Talkdesk.exe
2022-12-13 20:29:19.254,chrome.exe
2022-12-13 20:33:07.280,Talkdesk.exe
2022-12-13 20:33:10.281,chrome.exe
2022-12-13 20:33:34.285,firefox.exe
2022-12-13 20:34:04.289,chrome.exe
2022-12-13 20:35:25.299,Discord.exe
2022-12-13 20:35:40.301,Talkdesk.exe
2022-12-13 20:35:58.302,Discord.exe
2022-12-13 20:36:43.306,chrome.exe
2022-12-13 20:36:52.308,Talkdesk.exe
2022-12-13 20:36:55.308,chrome.exe
2022-12-13 20:39:52.327,Talkdesk.exe
2022-12-13 20:41:28.340,chrome.exe
2022-12-13 20:49:01.390,Talkdesk.exe
2022-12-13 20:50:58.405,chrome.exe
2022-12-13 20:51:01.405,Talkdesk.exe
2022-12-13 20:51:04.405,chrome.exe
2022-12-13 20:51:10.406,Talkdesk.exe
2022-12-13 20:51:16.408,chrome.exe
2022-12-13 20:51:22.408,Talkdesk.exe
2022-12-13 20:51:25.408,Discord.exe
2022-12-13 20:51:31.409,chrome.exe
2022-12-13 20:51:34.410,Talkdesk.exe
2022-12-13 20:51:37.410,chrome.exe
2022-12-13 20:51:49.411,Talkdesk.exe
2022-12-13 20:51:52.411,chrome.exe
2022-12-13 20:52:04.413,Talkdesk.exe
2022-12-13 20:52:10.414,chrome.exe
2022-12-13 20:52:13.415,Talkdesk.exe
2022-12-13 20:52:19.416,chrome.exe
2022-12-13 20:54:04.428,Discord.exe
2022-12-13 20:54:07.429,Talkdesk.exe
2022-12-13 20:54:10.430,chrome.exe
2022-12-13 20:54:34.433,Talkdesk.exe
2022-12-13 20:54:37.433,chrome.exe
2022-12-13 20:57:31.453,Talkdesk.exe
2022-12-13 20:57:58.455,chrome.exe
2022-12-13 20:58:52.462,ShellExperienceHost.exe
2022-12-13 20:59:07.464,chrome.exe
2022-12-13 20:59:13.464,Talkdesk.exe
2022-12-13 20:59:19.465,chrome.exe
2022-12-13 20:59:31.468,Talkdesk.exe
2022-12-13 20:59:40.470,chrome.exe
2022-12-13 21:00:10.474,Talkdesk.exe
2022-12-13 21:00:16.474,chrome.exe
2022-12-13 21:04:40.504,Talkdesk.exe
2022-12-13 21:04:43.504,chrome.exe
2022-12-13 21:04:46.505,Talkdesk.exe
2022-12-13 21:04:55.507,chrome.exe
2022-12-13 21:07:13.526,Discord.exe
2022-12-13 21:08:22.532,chrome.exe
2022-12-13 21:22:04.628,Talkdesk.exe
2022-12-13 21:22:10.628,chrome.exe
2022-12-13 21:24:28.647,Talkdesk.exe
2022-12-13 21:24:31.647,chrome.exe
2022-12-13 21:24:37.649,Talkdesk.exe
2022-12-13 21:24:46.650,chrome.exe
2022-12-13 21:27:25.670,Talkdesk.exe
2022-12-13 21:31:46.698,chrome.exe
2022-12-13 21:41:58.779,Discord.exe
2022-12-13 21:44:01.794,Talkdesk.exe
2022-12-13 21:44:04.795,chrome.exe
2022-12-13 21:48:19.825,Discord.exe
2022-12-13 21:48:40.827,chrome.exe
2022-12-13 21:50:34.842,Discord.exe
